2015_NDVI,GEOID10
0.099194557,42101009400
0.077633718,42101009500
0.094787224,42101009600
0.130629581,42101013800
0.151830062,42101013900
0.095882512,42101014000
0.094401635,42101014100
0.070561695,42101014400
0.122509065,42101014500
0.107592789,42101014600
0.092199416,42101014700
0.136430782,42101014800
0.133444174,42101014900
0.149114665,42101015200
0.070073316,42101015300
0.091725603,42101015600
0.098046783,42101019200
0.091236848,42101019700
0.102978916,42101019800
0.093756939,42101019900
0.066993276,42101020000
0.155071275,42101020200
0.117875886,42101020300
0.117328824,42101020400
0.135435967,42101020500
0.067601709,42101001400
0.082965773,42101001500
0.056574105,42101001600
0.074212476,42101001700
0.041001649,42101001800
0.037480521,42101001900
0.102493738,42101002000
0.066844972,42101002100
0.056303506,42101002200
0.070255879,42101002300
0.040183313,42101002400
0.085239586,42101002500
0.071058605,42101002900
0.094475341,42101003100
0.24491701,42101005600
0.140197909,42101006000
0.172435062,42101006100
0.122512181,42101006200
0.153750877,42101006300
0.118318847,42101010000
0.094858927,42101010100
0.094710015,42101010200
0.105691222,42101010300
0.126341359,42101010400
0.12483127,42101010500
0.132855886,42101010600
0.112910886,42101010700
0.129421328,42101010800
0.085786291,42101010900
0.125000549,42101011000
0.117421976,42101011100
0.081672872,42101011200
0.095632761,42101011300
0.132259406,42101011400
0.074494941,42101015700
0.074591768,42101015800
0.06486995,42101016000
0.095764829,42101016100
0.116731483,42101016200
0.09617454,42101016300
0.112289207,42101016400
0.141584822,42101016500
0.086627998,42101016600
0.140541604,42101016800
0.018572959,42101003901
0.106911417,42101016902
0.11275461,42101016901
0.267167255,42101020800
0.149134292,42101021100
0.180100961,42101021200
0.158814965,42101021300
0.152112154,42101024100
0.169963903,42101024200
0.241872421,42101024300
0.18064306,42101024400
0.197065306,42101024500
0.151262363,42101024600
0.206302247,42101024700
0.162335052,42101024800
0.159546866,42101024900
0.176228441,42101025200
0.160625131,42101025300
0.194036752,42101025400
0.235279252,42101025500
0.150857448,42101028300
0.167329505,42101028400
0.132089859,42101028500
0.129557632,42101028600
0.092874331,42101028700
0.107891925,42101028800
0.157472819,42101029100
0.139751498,42101029300
0.123041258,42101029400
0.118659253,42101029800
0.138346934,42101033300
0.103106336,42101033400
0.11252989,42101033500
0.135075787,42101033600
0.189356312,42101033800
0.210612934,42101033900
0.163431455,42101034100
0.22853426,42101034200
0.122624051,42101006600
0.19089171,42101034702
0.071961821,42101003800
0.084676213,42101008302
0.115999522,42101017602
0.104992198,42101001002
0.118885751,42101001001
0.037138579,42101000402
0.144249861,42101012203
0.08833002,42101013602
0.145724402,42101034501
0.153961155,42101034502
0.088842322,42101001102
0.056042813,42101000902
0.036089211,42101000901
0.091368558,42101017201
0.078881779,42101017202
0.112710421,42101027401
0.110056704,42101020101
0.092394911,42101020102
0.086541705,42101031101
0.105085346,42101031102
0.093520006,42101019502
0.103124097,42101019501
0.143760591,42101028901
0.07537618,42101033101
0.15294532,42101033102
0.075874606,42101031501
0.117263762,42101030501
0.150379331,42101030502
0.169468603,42101009802
0.122022392,42101018001
0.097885605,42101017702
0.103043604,42101017701
0.168415406,42101035702
0.138600469,42101015101
0.155359316,42101015102
0.094519608,42101013402
0.114485541,42101013401
0.094231826,42101013601
0.085107415,42101037900
0.095008001,42101038000
0.329650422,42101038400
0.084203751,42101000100
0.022542459,42101000200
0.021453573,42101000500
0.019290416,42101000600
0.116386994,42101003200
0.115717496,42101003600
0.064145341,42101003701
0.049698729,42101003702
0.056689674,42101004101
0.001520936,42101004002
0.055729644,42101003902
0.022470289,42101004001
0.04963743,42101004102
0.066498099,42101004202
0.053168166,42101004201
0.129613268,42101007900
0.111643252,42101008000
0.091863142,42101017601
0.075552556,42101008400
0.072848506,42101008500
0.096429722,42101009000
0.078797316,42101009100
0.13244649,42101009200
0.097659597,42101009300
0.155676609,42101006700
0.092846884,42101007000
0.099749088,42101007200
0.102134312,42101007300
0.12767799,42101007400
0.186677332,42101007700
